,Date,CNY,INR,USD
328,2022-04-22,337850.4672897198,296324.6554364474,313134.49172253354
329,2022-04-25,339619.49265687604,298621.74578866793,313832.26159529306
330,2022-04-26,341455.27369826456,301378.25421133253,314119.57860172354
331,2022-04-27,343624.8331108147,301378.25421133253,315186.75605417945
332,2022-04-28,345861.14819759707,301378.25421133253,313873.306881926
333,2022-04-29,343658.2109479308,304594.18070444127,314365.85032152105
334,2022-05-02,346261.6822429909,303675.3445635531,314078.5333150906
335,2022-05-03,345360.4806408547,303675.3445635531,314078.5333150906
336,2022-05-04,342423.2309746331,303675.3445635531,313873.306881926
337,2022-05-05,346295.060080107,303675.3445635531,311944.17841017887
338,2022-05-06,345994.6595460616,305513.01684532955,314160.62388835644
339,2022-05-09,345961.2817089455,306431.85298621777,315884.525926939
340,2022-05-10,346862.4833110817,309188.3614088824,317567.3826788887
341,2022-05-11,346628.8384512686,309188.3614088824,317156.9298125595
342,2022-05-12,349966.6221628841,308728.9433384383,317772.6091120533
343,2022-05-13,348998.66488651565,311944.869831547,317854.69968531915
344,2022-05-16,347763.6849132179,311944.869831547,318059.92611848377
345,2022-05-17,344993.32443257706,311944.869831547,319373.3752907372
346,2022-05-18,346495.3271028041,309647.7794793265,317567.3826788888
347,2022-05-19,342857.1428571432,310107.1975497706,319414.4205773701
348,2022-05-20,344292.38985313784,308269.52526799415,317772.6091120534
349,2022-05-23,340720.9612817092,307350.6891271059,319414.4205773701
350,2022-05-24,339986.64886515384,305513.0168453295,318224.10726501554
351,2022-05-25,340654.20560747694,305513.0168453295,318018.8808318509
352,2022-05-26,339886.5153538053,307350.6891271059,318100.9714051167
353,2022-05-27,339352.4699599468,309647.77947932645,318634.56013134465
354,2022-05-31,339619.49265687604,305972.4349157736,318183.0619783825
355,2022-06-01,342289.71962616843,306431.8529862177,318511.42427144584
356,2022-06-02,339686.2483311083,307350.6891271059,318429.33369818004
357,2022-06-03,340921.228304406,305972.43491577357,317526.33739225584
358,2022-06-06,341922.56341789063,305972.43491577357,318880.8318511421
359,2022-06-07,341522.02937249676,305513.0168453295,319414.42057737004
